spec_id;exigence;statut;partiellement_implemente;reste_a_faire;preuves;nom
F1;Lancement depuis script executable;Implémente;Non;Rien de bloquant;run.sh | src/main/java/fr/ubordeaux/scrabble/App.java;erwan
F2;Fichier de configuration .scrabblerc INI;Non implemente;Non;Ajouter lecture ecriture HOME .scrabblerc parser INI priorite CLI creation fichier minimal warning si invalide;Absence de module config dans src/main/java;yanis
F3;Internationalisation en fr via LANG LC_ALL;Implémente;Oui limite langues;Ajouter liste dynamique des langues supportees;src/main/java/fr/ubordeaux/scrabble/App.java | src/main/java/fr/ubordeaux/scrabble/i18n/I18n.java;erwan
F4;Options CLI et argument sauvegarde;Partiel;Oui options de base;Supporter argument positionnel de sauvegarde et aligner flags version verbose et codes retour;src/main/java/fr/ubordeaux/scrabble/App.java;erwan
F5;Mode blitz et option time;Partiel;Oui blitz present;Gerer -t sans -b avec warning et ignore;src/main/java/fr/ubordeaux/scrabble/App.java;erwan
F6;Mode contest;Non implemente;Non;Ajouter option contest lecture position et sortie meilleur coup;src/main/java/fr/ubordeaux/scrabble/App.java;erwan
F7;Interface graphique;Implémente;Oui parite partielle;Completer fonctions manquantes menu raccourcis pause;src/main/java/fr/ubordeaux/scrabble/view/gui/ScrabbleGui.java;thomas
F8;Mode IA par couleur avec defaut;Partiel;Oui option ai;Permettre valeur par defaut quand couleur absente et valider couleurs;src/main/java/fr/ubordeaux/scrabble/App.java;aissa
F9;Options joueurs langue super dictionnaire;Partiel;Oui p l s;Ajouter list-languages et dictionary personnalise;src/main/java/fr/ubordeaux/scrabble/App.java;erwan
F10;Gestion des regles;Implémente;Oui;Ajouter tests cas limites supplementaires;src/main/java/fr/ubordeaux/scrabble/model/core/Game.java | src/main/java/fr/ubordeaux/scrabble/model/core/MoveHandler.java;erwan
F11;Gestion des erreurs utilisateur;Implémente;Oui;Uniformiser les messages sur toutes interfaces;src/main/java/fr/ubordeaux/scrabble/controller/GameController.java;erwan
F12;Undo redo humain IA;Implémente;Oui;Ajouter tests multi humains multi IA;src/main/java/fr/ubordeaux/scrabble/model/core/Game.java;erwan
F13;Gestion des conseils hint;Implémente;Oui;Ameliorer qualite et explication du hint;src/main/java/fr/ubordeaux/scrabble/controller/GameController.java;erwan
F14;Gestion blitz affichage temps pause;Partiel;Oui timers et timeout;Ajouter pause explicite CLI GUI et affichage temps restant partout;src/main/java/fr/ubordeaux/scrabble/controller/GameController.java | src/main/java/fr/ubordeaux/scrabble/view/gui/panel/ScorePanel.java;thomas
F15;Shell interactif a commandes texte;Partiel;Oui boucle interactive;Implementer commandes texte new help load save pause show set au format spec;src/main/java/fr/ubordeaux/scrabble/view/cli/CliInputHandler.java | src/main/java/fr/ubordeaux/scrabble/controller/GameControllerAux.java;thomas
F16;Proposer sauvegarde avant quitter;Partiel;Oui confirmation quit;Demander sauvegarde si non sauvegarde puis redemander en cas erreur;src/main/java/fr/ubordeaux/scrabble/controller/GameControllerAux.java | src/main/java/fr/ubordeaux/scrabble/view/gui/ScrabbleGui.java;thomas
F17;Edition ligne commande fleches;Non implemente;Non;Integrer JLine ou equivalent pour edition de ligne;src/main/java/fr/ubordeaux/scrabble/view/cli/CliInputHandler.java;thomas
F18;Historique commandes et Ctrl+R;Non implemente;Non;Ajouter historique navigation haut bas et recherche Ctrl+R;src/main/java/fr/ubordeaux/scrabble/view/cli/CliInputHandler.java;thomas
F19;Completion des commandes shell;Partiel;Oui completion bash externe;Ajouter completion Tab dans shell interactif interne;scripts/scrabble-completion.bash | src/main/java/fr/ubordeaux/scrabble/view/cli;thomas
F20;Notation des coups et rendu ASCII colore;Partiel;Oui notation et couleurs standard;Ajouter details couleurs super scrabble et temps blitz par coup;src/main/java/fr/ubordeaux/scrabble/view/cli/CliInputHandler.java | src/main/java/fr/ubordeaux/scrabble/view/cli/renderer/BoardRenderer.java;thomas
F21;Sauvegarde restauration ASCII;Partiel;Oui sections principales;Completer robustesse format et coherence des metadonnees;src/main/java/fr/ubordeaux/scrabble/model/savefiles/SaveManager.java | src/main/java/fr/ubordeaux/scrabble/model/savefiles/GameLoader.java;yanis
F22;Commentaires # et bloc {} dans sauvegarde;Implémente;Oui;Ajouter tests cas limites;src/main/java/fr/ubordeaux/scrabble/model/savefiles/GameLoader.java;yanis
F23;Format settings cle valeur;Partiel;Oui incomplet;Remplacer TODO exporter charger toutes options et format cle valeur;src/main/java/fr/ubordeaux/scrabble/model/savefiles/SaveManager.java | src/main/java/fr/ubordeaux/scrabble/model/savefiles/GameLoader.java;yanis
F24;Format plateau taille quelconque et erreurs ligne;Partiel;Oui erreurs ligne;Supporter tailles variables et format exemple complet;src/main/java/fr/ubordeaux/scrabble/model/savefiles/GameLoader.java | src/main/java/fr/ubordeaux/scrabble/model/savefiles/SaveManager.java;yanis
F25;Format historique;Partiel;Oui historique basique;Supporter toutes syntaxes spec et validation stricte;src/main/java/fr/ubordeaux/scrabble/model/savefiles/GameLoader.java | src/main/java/fr/ubordeaux/scrabble/model/savefiles/SaveManager.java;yanis
F26;Module lexicon dictionnaire selon langue;Implémente;Oui;Ajouter tests fallback locale et dictionnaire perso;src/main/resources/dictionaries | src/main/java/fr/ubordeaux/scrabble/controller/GameController.java;yanis
